"Trcid";"Title";"Shortdescription";"Longdescription";"Calendarsummary";"Types";"Ids";"Locatienaam";"City";"Adres";"Zipcode";"Latitude";"Longitude";"Urls";"Media";"Thumbnail";"Datepattern_startdate";"Datepattern_enddate";"Singledates";
"0000e543-985f-48bb-aaee-42e01ef56b51";"Diwali festival";" Het Diwalifestival (het lichtjesfeest) is het belangrijkste feest in India. Het wordt een gevarie&euml:rd feest voor jong en oud, met veel dans, muziek, workshops en veel lekkernijen uit India en Nederland. Een unieke kans om met India kennis te maken   ";" Het Diwalifestival (het lichtjesfeest) is het belangrijkste feest in India. Het wordt een gevarie&euml:rd feest voor jong en oud, met veel dans, muziek, workshops en veel lekkernijen uit India en Nederland. Een unieke kans om met India kennis te maken   ";"tot zaterdag 22 oktober 2011 ma-vr: gesloten za, zo: 12:00 - 19:00 uur";"Varia";"2.3.18";"Stadsplein";"Amstelveen";"";"";"52.303684";"4.858643";"";"";"";"22/10/2011";"22/10/2011";"";
"008baff1-8e01-46fe-a376-2883ebb05f6c";"Feestweek met kermis (t/m zon 29 sept.)";"Ook dit jaar zijn er weer volop activiteiten in de dorpskern van Ilpendam ter gelegenheid van de feestweek en de kermis.  En natuurlijk is er veel live muziek te beluisteren in het Dorpshuis en het Wapen van Ilpendam.  ";"Ook dit jaar zijn er weer volop activiteiten in de dorpskern van Ilpendam ter gelegenheid van de feestweek en de kermis.  En natuurlijk is er veel live muziek te beluisteren in het Dorpshuis en het Wapen van Ilpendam.  ";"vrijdag 21 september 2012 t/m zaterdag 29 september 2012 ma-zo: 13:00 uur";"Varia";"2.3.18";"o.a. Dorpsplein en aan de Noord";"Ilpendam";"";"";"52.462851";"4.953878";"http://www.dorpshuisilpendam.nl";"";"";"21/09/2012";"29/09/2012";"";
"0091af15-6cea-4863-8e26-862f5ae4bad0";"Wedstrijd SC Telstar - Go Ahead Eagles";"Deze wedstrijd vindt plaats in het TATA Steel Stadion.";"Voor een overzicht van het complete wedstrijdprogramma van SC Telstar kun je kijken op: www.sctelstar.nl.";"vrijdag 1 maart 2013, 20:00 uur";"Sportevenement";"2.3.13";"TATA Steel Stadion";"VELSEN-ZUID";"Tolsduinerlaan 10a";"1981 EG";"52.454892";"4.633967";"http://www.sctelstar.nl/";"http://media.iamsterdam.com/ndtrc/Images/20120703/32b844cc-c9d0-41bc-a884-aed3bf9049ad.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120703/32b844cc-c9d0-41bc-a884-aed3bf9049ad.jpg";"";"";"01/03/2013";
"0093ede9-a952-4ff4-890a-c400905f757b";"Westeinderloop";"Op zondag 4 maart 2012 wordt bij Atletiekvereniging Aalsmeer de jaarlijkse Westeinderloop gehouden. Net als voorgaande jaren kunt u meedoen aan een 10 of een 5 km. Voor de kinderen (tot en met 12 jaar) staat er weer 1 km baanloop op het programma.   De online inschrijving is geopend. Bent u van plan om mee te doen, dan kunt u zich nu inschrijven. ";"";"";"Sportevenement";"2.3.13";"";"Aalsmeer ";"Start en finish: Sportlaan  43";"1431 HW";"52.266122";"4.764352";"http://www.westeinderloop.nl";"http://media.iamsterdam.com/ndtrc/Images/20120215/fd83a281-db2a-4744-924c-d2a91f0f3bbb.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120215/fd83a281-db2a-4744-924c-d2a91f0f3bbb.jpg";"";"";"";
"00c5bf89-37ac-4d3a-80d9-d69655ce55ec";"Wijn & Monet";" De Zaanse Wijnkring organiseert in samenwerking met de Stichting &quot:Monet in Zaandam&quot: een spectaculaire wandeling in het centrum van Zaandam.";"<p class=&quot:MsoNormal&quot: style=&quot:background-color: white:&quot:>De Zaanse Wijnkring organiseert in samenwerking met de Stichting &quot:Monet in Zaandam&quot: een spectaculaire wandeling in het centrum van Zaandam, langs de plekken waar de wereldberoemde schilder Monet zijn schildersezel heeft neergezet om Zaandam te vereeuwigen. Aan de hand van Monets schilderijen neem je een duik in oud Zaandam en kom je dingen tegen die je al jaren niet zijn opgevallen!<br /> <br /> <strong>Wijn proeven</strong><br /> Na deze wandeling kun je bijkomen in de Moestuin van Monet. Daar neemt de Zaanse wijnkring je mee op ontdekkingsreis van culinaire Monet. Want naast befaamd schilder was Monet zeer culinair gedreven: zijn geurende kruiden worden gecombineerd met passende wijnen en heerlijk fruit. De proeverij wordt muzikaal omlijst met klanken van Monets tijdgenoten.</p> <p class=&quot:MsoNormal&quot:><o:p>&nbsp:</o:p></p>";"zondag 15 juli 2012, 14:30 - 16:30 en 15:30 - 17:30 uur";"Rondleiding";"2.3.12";"Wijn & Monet";"ZAANDAM";"Tussen de Hogendijk en de Krimp";"1506 AC";"52.437281";"4.824328";"http://zaansewijnkring.wordpress.com/15jul12-wijn-en-monet/";"http://media.iamsterdam.com/ndtrc/Images/20120704/f893751b-8523-4ea0-9d18-e3f8e5084e37.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120704/f893751b-8523-4ea0-9d18-e3f8e5084e37.jpg";"";"";"15/07/2012";
"00cdfe33-574d-46b4-80ec-a17ee66e51fa";"Krachtsieraden maken Love Edition";"Ontdek de kracht die het beste bij je past. Tijdens deze introductie workshop word je begeleid in het op eenvoudige wijze maken van een sieraad met zelf uitgezochte stenen. De betekenis van de steen wordt uitgelegd en je leert hoe je de steen kunt ontladen en weer opladen.  ";"Ontdek de kracht die het beste bij je past. Tijdens deze introductie workshop word je begeleid in het op eenvoudige wijze maken van een sieraad met zelf uitgezochte stenen. De betekenis van de steen wordt uitgelegd en je leert hoe je de steen kunt ontladen en weer opladen.  ";"zondag 10 april 2011 t/m zondag 10 april 2011 ma-zo: geopend";"Varia";"2.3.18";"Yurtlife";"Zaandam";"Cornelis van Uitgeeststraat 31 hoog";"1508 EG";"52.456657";"4.814680";"http://www.yurtlife.nl";"";"";"10/04/2011";"10/04/2011";"";
"00d3ce7b-7534-41e6-9fb5-49becb5267cf";"Stichting Koemarkt";" Maandag, 13 juni, 2de Pinksterdag moet U zijn op de Koemarkt te Purmerend. Als de zon dan ook nog schijnt, is het nog gezelliger voor de jonge mensen onder ons om deel te nemen aan de kinderactiviteiten en zeker om langs de 50 kramen te slenteren. Ook op 17 juli en op 7 augustus vindt deze gezellige markt plaats. Gaan   &nbsp:  ";" Maandag, 13 juni, 2de Pinksterdag moet U zijn op de Koemarkt te Purmerend. Als de zon dan ook nog schijnt, is het nog gezelliger voor de jonge mensen onder ons om deel te nemen aan de kinderactiviteiten en zeker om langs de 50 kramen te slenteren. Ook op 17 juli en op 7 augustus vindt deze gezellige markt plaats. Gaan   &nbsp:  ";"maandag 13 juni 2011 t/m maandag 13 juni 2011 ma-zo: geopend";"Markt";"2.3.10";"Koemarkt";"Purmerend";"Koemarkt 13-15";"1441 DA";"52.508820";"4.949576";"";"";"";"13/06/2011";"13/06/2011";"";
"0111ec1e-02f9-43ef-bfe5-8ed4681f8083";"Braderie op het Gildeplein";"Op zaterdag 19 mei vindt er een gezellige braderie plaats op het Gildeplein in Purmerend. ";"Op zaterdag 19 mei vindt er een gezellige braderie plaats op het Gildeplein in Purmerend. ";"zaterdag 31 maart 2012 t/m zaterdag 31 maart 2012 ma-vr: gesloten za: geopend zo: gesloten";"Markt";"2.3.10";"Gildeplein";"Purmerend";"";"";"51,963967";"5,872256";"";"";"";"31/03/2012";"31/03/2012";"";
"0120358d-e853-4d4a-84a7-6397b61ef8c7";"Kermis Velserbroek";"Kermis Velserbroek";"";"vrijdag 29 april 2011 t/m zondag 8 mei 2011 ma-zo: geopend";"Kermis";"2.3.8";"Vestingplein";"Velserbroek";"";"";"52.432751";"4.656495";"";"";"";"29/04/2011";"08/05/2011";"";
"01318b2e-cdf2-4c82-8d7c-02bd0fd79bb8";"Verteltheater in het Muiderslot ";"Tijdens de herfstvakantie, van 13 tot en met 28 oktober 2012, kun je op het Muiderslot komen luisteren naar een spannend avontuur van Ridder Walewein.";"Dit keer gaat de dapperste ridder van Koning Arthur op reis naar een mysterieus oosters land. Daar houdt Koning Assentijn zijn beeldschone dochter Ysabelle gevangen in een tuin met gouden bomen. Zal het Ridder Walewein lukken haar te bevrijden?<br /> <br /> Het verhaal van Ridder Walewein is een leuke voorstelling voor jong en oud. De verhalen worden verteld op dinsdag, donderdag en zondag door  meester-verteller Imre B&eacute:sanger, in de Kazemat. De voorstelling duurt 20 minuten.";"zaterdag 13 oktober 2012 t/m zondag 28 oktober 2012 ma-vr: 10:00 - 17:00 uur za, zo: 12:00 - 17:00 uur";"Lezing/Debat,Jeugdfestival,Varia";"2.3.9,2.4.5,2.3.18";"";"MUIDEN";"Herengracht 1";"1398 AA";"52.332966";"5,071157";"http://www.muiderslot.nl";"http://media.iamsterdam.com/ndtrc/Images/20120807/8b26b79e-2aea-4079-8f7b-10e942c0d400.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120807/8b26b79e-2aea-4079-8f7b-10e942c0d400.jpg";"13/10/2012";"28/10/2012";"";
